ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9514982,HX170429,03/03/2014 01:00:00 AM,085XX S COTTAGE GROVE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0632,006,6,44,07,1183006,1848720,2014,03/06/2014 12:40:43 AM,41.74008751563047,-87.6050676678111,"(41.74008751563047, -87.6050676678111)"
9514916,HX170353,03/03/2014 01:00:00 AM,001XX N CALIFORNIA AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,VEHICLE NON-COMMERCIAL,false,false,1222,012,2,27,26,1157671,1900610,2014,03/05/2014 12:39:37 AM,41.883031220200714,-87.69648330646002,"(41.883031220200714, -87.69648330646002)"
9515015,HX170351,03/03/2014 01:00:00 AM,082XX S SANGAMON ST,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,false,false,0613,006,21,71,04B,1171451,1850230,2014,03/06/2014 12:40:43 AM,41.74449169442011,-87.64735944904957,"(41.74449169442011, -87.64735944904957)"
9515415,HX171084,03/03/2014 01:00:00 AM,108XX S HOXIE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0434,004,10,51,14,1195278,1833615,2014,03/06/2014 12:40:43 AM,41.698344214317785,-87.56060215403764,"(41.698344214317785, -87.56060215403764)"
9514910,HX170348,03/03/2014 01:00:00 AM,053XX W LAKE ST,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,OTHER,true,false,1523,015,28,25,22,1140694,1902013,2014,03/05/2014 12:39:37 AM,41.88721002234722,-87.75878987839846,"(41.88721002234722, -87.75878987839846)"
9514936,HX170838,03/03/2014 01:00:00 AM,033XX N HALSTED ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1924,019,44,6,08B,1170284,1922752,2014,03/09/2014 12:39:51 AM,41.943523885721454,-87.64951970247293,"(41.943523885721454, -87.64951970247293)"
9514925,HX170345,03/03/2014 12:45:00 AM,0000X E LAKE ST,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,true,false,0111,001,42,32,26,1176598,1901710,2014,03/05/2014 12:39:37 AM,41.885643229254995,-87.62694971022832,"(41.885643229254995, -87.62694971022832)"
9514963,HX170416,03/03/2014 12:30:00 AM,062XX S KOLMAR AVE,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,false,false,0813,008,13,65,06,1147153,1862822,2014,03/05/2014 12:39:37 AM,41.77954336610173,-87.73607097060035,"(41.77954336610173, -87.73607097060035)"
9514976,HX170426,03/03/2014 12:30:00 AM,044XX S HONORE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0924,009,12,61,14,1164725,1875076,2014,03/05/2014 12:39:37 AM,41.81281686773512,-87.67130351483337,"(41.81281686773512, -87.67130351483337)"
9515001,HX170427,03/03/2014 12:30:00 AM,006XX W GARFIELD BLVD,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,0935,009,3,61,06,1173140,1868464,2014,03/05/2014 12:39:37 AM,41.7944908283433,-87.64063266719808,"(41.7944908283433, -87.64063266719808)"
